,Glossary Type,Term Name,Description,Usage Context,Associated Category Names,Service Line
0,Acronyms,HUGO,Have U Gone Online (Intranet),HUGO,,
3,Acronyms,NI,Nominal Insurer- The Organization is the Nominal Insurer,NI,,
4,Acronyms,CVV,Card Verification Value,CVV,,
7,Acronyms,EOI,Expression of Interest,EOI,,
8,Acronyms,TEED,Tape Effective End Date (Submission End Date),TEED,,
12,Acronyms,GLT,Group Executive Leadership Team,GLT,,
16,Acronyms,DADHC,Department of Ageing Disability & Home Care,DADHC,,
30,Acronyms,NOHSIM,National Occupational Health and Safety and Injury Management Forum,NOHSIM,,
32,Acronyms,RPL,Retro Paid Loss,RPL,,
37,Acronyms,RACGP,Royal Australian College of General Practitioners,RACGP,,
40,Acronyms,MSL,Mining services levy – now called MSPA,MSL,,
41,Acronyms,NRP,Nominated Rehabilitation Provider,NRP,,
42,Acronyms,WT,Work Trial,WT ,,
43,Acronyms,NT,Northern Territory ,NT,,
51,Acronyms,R&FS,"Regulatory and Financial Services Group, part of WCD",R&FS,,
54,Treatment & Care,Benefits,"Benefits has the meaning given in the 1987 Act and the 1998 Act and includes payments made to Workers for:<br>(a) compensation payable on death;<br>(b) weekly compensation for income and support; <br>(c) medical, hospital rehabilitation, legal and related expenses; and<br>(d) non-economic loss and property damage.<br>For avoidance of doubt, Benefits includes amounts payable to Third Party Service Providers by the Nominal Insurer.","Benefits has the meaning given in the 1987 Act and the 1998 Act and includes payments made to Workers for:<br>(a) compensation payable on death;<br>(b) weekly compensation for income and support; <br>(c) medical, hospital rehabilitation, legal and related expenses; and<br>(d) non-economic loss and property damage.<br>For avoidance of doubt, Benefits includes amounts payable to Third Party Service Providers by the Nominal Insurer.",Payment,Workers Insurance
62,Acronyms,AMR,Australian Mesothelioma Registry,AMR,,
63,Acronyms,ARPA,Australian Rehabilitation Providers Association,Australian Rehabilitation Providers Association,,
64,Acronyms,CIC,Construction Induction Card,CIC,,
65,Acronyms,DII,Department of Industry and Investment (previously&nbsp;&nbsp;DPI),DII ,,
66,Acronyms,PCCS,Primary & Community Care Services,PCCS,,
68,Acronyms,BAU,Business As Usual,BAU,,
73,Acronyms,DPC,Department of Premier and Cabinet,DPC,,
79,Acronyms,PPRU,Planning Performance and Research Unit,PPRU,,
81,Acronyms,DEEWR,Department of Employment Education & Workplace Relations,DEEWR,,
86,Acronyms,IC,Independent Consultant,IC,,
89,Acronyms,CEP,Commercial Engagement & Performance / Customer Engagement Platform,CEP,,
96,Acronyms,ARD,Application to Resolve Dispute,ARD,,
97,Acronyms,LC,Learning Consultant (part of the Learning Services Team),LC,,
101,Acronyms,QVD,Qlik View Data,QVD,,
114,Acronyms,ANZSIC,Australian and New Zealand Standard Industrial Classification System,ANZSIC,,
117,Acronyms,BTP,Base Tariff Premium,BTP,,
125,Acronyms,EPMO,Enterprise Project Management Office,EPMO,,
134,Acronyms,MIDAS,A community of practice of medium sized TMF agencies,MIDAS,,
138,The Organization terms glossary,Product,Product encapsulates the types of insurance that The Organization provides and what schemes are operated under The Organization.,Product,,
149,Acronyms,LAB,"Legislation and Advisings Branch, Legal Group",LAB,,
151,Acronyms,Rx,Rehab ,Rx,,
152,Acronyms,SAP,SAP Finance System,SAP,,
155,Acronyms,PSA,Public Service Association,PSA,,
158,Acronyms,IH,Industrial History,IH,,
161,Acronyms,LST,Learning Service Team,LST,,
162,Acronyms,PMES,People Matter Employment Survey,PMES,,
167,Acronyms,CIO,Chief Information Officer,CIO,,
168,Acronyms,GST,Goods and Services Tax (Source:ATO),GST,,
170,Acronyms,HIC,Health Insurance Commision (now MedThe Organization Services),<p>Health Insurance Commision (now MedThe Organization Services)</p>,,
